CountryName,CountryCode,Year,PopulationFemale,PopulationFemalePercentOfTotal,LaborForceFemale,LaborForceFemalePercentOfTotalLaborForce,LaborForceTotal,ProportionOfSeatsHeldByWomenInNationalParliamentsPercent
Guatemala,GTM,2013,8020052,51.1131081775153,2524663,38.0922801159669,6627755,13.3
Guinea,GIN,2013,5961340,49.8910093009079,2242459,45.6661008786176,4910555,NULL
Guinea-Bissau,GNB,2013,884902,50.3604156304172,357085,47.0997049384882,758147,14
Guyana,GUY,2013,379366,49.8488239011974,112168,34.6709033697863,323522,31.3
Haiti,HTI,2013,5272730,50.5474464275563,2131170,47.4733114793829,4489196,4.2
Honduras,HND,2013,3925725,50.0152311251578,1130227,34.5121918077184,3274863,19.5
Hong Kong SAR-China,HKG,2013,3817733,53.1162783555953,1748010,46.8212992836221,3733365,NULL
Hungary,HUN,2013,5188531,52.4460509726075,2010881,45.8251626707236,4388159,8.8
Iceland,ISL,2013,161344,49.8337389978856,90719,47.7237337710161,190092,39.7
India,IND,2013,616132354,48.1541927484338,117925885,24.1709806325171,487882088,11
Indonesia,IDN,2013,124663430,49.6136766584891,46365528,37.9656033339979,122125092,18.6
Iran-Islamic Rep.,IRN,2013,38265516,49.5972823673961,4885968,18.338652115255,26643005,3.1
Iraq,IRQ,2013,16690031,49.4059992788655,1476066,17.6109478883616,8381525,25.2
Ireland,IRL,2013,2305115,50.1297828874118,969704,44.3940039728739,2184313,15.7
Israel,ISR,2013,4069967,50.4990011279362,1727977,46.7521690806042,3696036,22.5
Italy,ITA,2013,30972255,51.4199321832724,10657639,41.8370297105182,25474177,31.4
Jamaica,JAM,2013,1363455,50.2242703865369,579510,44.8943702888839,1290830,12.7
Japan,JPN,2013,65369298,51.3350131752607,27953107,42.6377704709287,65559495,8.1
Jordan,JOR,2013,3144935,48.6831987217443,312528,18.2000722114164,1717180,12.2
Kazakhstan,KAZ,2013,8812342,51.7299640586949,4534593,49.2999003258978,9197976,24.3
Kenya,KEN,2013,21850939,50.0102957275809,7883837,46.4611451211813,16968667,18.6
Korea-Dem. Rep.,PRK,2013,12727035,51.1214082911088,7282060,47.8880063825598,15206438,15.6
Korea-Rep.,KOR,2013,25257415,50.2938706783647,10864663,41.5959233275872,26119538,15.7
Kuwait,KWT,2013,1576512,43.8689046269725,514396,27.0923955836524,1898673,6.2
Kyrgyz Republic,KGZ,2013,2892835,50.577579956343,1139199,42.5599901370723,2676690,23.3
Lao PDR,LAO,2013,3308730,50.2847650868505,1650139,50.0546915192048,3296672,25
Latvia,LVA,2013,1091288,54.2215475553183,521515,49.9464635281588,1044148,23
Lebanon,LBN,2013,2225658,49.5312833956561,392761,24.1323948127403,1627526,3.1
Lesotho,LSO,2013,1055034,50.6482527395981,399310,45.8218054922823,871441,26.7
Liberia,LBR,2013,2131452,49.6414740507703,715461,47.4342348649691,1508322,11
Libya,LBY,2013,3094983,49.3933836760274,658001,28.1071007057093,2341049,16.5
Lithuania,LTU,2013,1595699,53.9508605477409,774222,50.1514476268455,1543768,24.1
Luxembourg,LUX,2013,271604,49.9859603402553,115048,44.2395321025775,260057,23.3
Macao SAR-China,MAC,2013,294859,51.9066782148239,171721,48.3871058637888,354890,NULL
Macedonia-FYR,MKD,2013,1040526,50.2052792149548,372979,39.4361684917935,945779,34.1
Madagascar,MDG,2013,11499858,50.1639268318249,5778678,49.4403111653463,11688191,17.5
Malawi,MWI,2013,8116315,50.1312651921301,3761234,51.4440152010958,7311315,22.3
Malaysia,MYS,2013,14247069,48.3519065854232,4688557,36.0840649596088,12993428,10.4
Maldives,MDV,2013,195943,49.8583069171857,80463,42.4018380822394,189763,6.5
Mali,MLI,2013,8221147,49.5485712264098,2212673,38.4954961616249,5747875,10.2
Malta,MLT,2013,212705,50.2405536212618,68417,36.6152182987787,186854,14.3
Mauritania,MRT,2013,1924771,49.7012149713222,330852,26.6294278148467,1242430,22.1
Mauritius,MUS,2013,635978,50.5284276172085,222584,37.8743251130271,587691,18.8
Mexico,MEX,2013,62192738,50.2607751864838,20247542,37.1678336549827,54475981,36.8
Moldova,MDA,2013,1846991,51.9026863446968,591290,48.5348594205432,1218279,19.8
Mongolia,MNG,2013,1442588,50.4547117454202,595690,45.7436989051123,1302234,14.9
Montenegro,MNE,2013,314379,50.6077022579117,110580,44.0143928417902,251236,16
Morocco,MAR,2013,16951778,50.6738920755122,3306230,26.9772627522547,12255617,17
Mozambique,MOZ,2013,13564527,51.2503674361984,6449179,53.2760560720503,12105211,39.2
Myanmar,MMR,2013,27107528,51.1618894134661,14737883,49.5132141833069,29765555,6
Namibia,NAM,2013,1206426,51.4118346947403,422433,48.5477049670168,870140,24.4
Nepal,NPL,2013,14339464,51.5159827125443,7721404,50.7952484291202,15201036,33.2
Netherlands,NLD,2013,8471983,50.4151695412209,4148542,46.1034914831371,8998325,38.7
New Caledonia,NCL,2013,129446,49.4067601657874,46073,40.1805258797366,114665,NULL
New Zealand,NZL,2013,2267363,51.0426007261365,1132176,47.2201773984809,2397653,32.2
Nicaragua,NIC,2013,3015855,50.7237565102261,1003319,38.6080657121231,2598729,40.2
Niger,NER,2013,9109439,49.61875362325,1834458,31.0966617236336,5899212,13.3
Nigeria,NGA,2013,84862520,49.1055608995985,22982050,42.403000993817,54199112,6.7
Norway,NOR,2013,2527380,49.7552646332707,1270084,47.1258298884899,2695091,39.6
Oman,OMN,2013,1378992,35.2962134801091,278989,14.0530632352334,1985254,1.2
Pakistan,PAK,2013,88100487,48.6225511602717,14075977,22.1149311835038,63649201,20.7
Panama,PAN,2013,1896392,49.8305297629887,675040,37.5156861851531,1799354,8.5
Papua New Guinea,PNG,2013,3580501,48.9884748163326,1582574,48.2620821103191,3279125,2.7
Paraguay,PRY,2013,3184123,49.2466131501628,1224533,39.0977772498895,3131976,17.5
Peru,PER,2013,15296074,50.0436554842082,7532190,45.1949857632186,16665986,21.5
Philippines,PHL,2013,48263552,49.4647155594621,16822548,39.1920540058323,42923364,27.1
Poland,POL,2013,19637883,51.6240319650341,8255476,45.1249251559767,18294714,23.7
Portugal,PRT,2013,5488771,52.487486275918,2608564,48.3314792979221,5397236,28.7
Puerto Rico,PRI,2013,1867496,51.9349069024446,526387,42.6849184879565,1233192,NULL
Qatar,QAT,2013,546964,26.0299397322023,203364,13.1124075392281,1550928,0
Romania,ROM,2013,10294398,51.5139943022597,4270561,44.8548668279549,9520842,13.3
